,company_name,patent_abstract,patent_assignee,patent_class,patent_number,patent_title,year_applied,year_granted
10,Medtronic,"Techniques for stabilizing the rate of a ventricle, during conducted atrial fibrillation for example, adjust the escape interval of an implantable medical device to increase or decrease the pacing rate. In some embodiments, the escape interval is adjusted to achieve and maintain a percentage of pacing. In other embodiments, the stability of the ventricular rate is quantified as a function of measured R-R intervals, and the escape interval is adjusted to achieve and maintain a level of stability. In still other embodiments, a mean compensatory pause length is determined, and the escape interval is adjusted as a function of the mean compensatory pause length, to maintain the escape interval at or near the mean compensatory pause length.</p> <endline> ","Medtronic, Inc.",None,07158827,Ventricular rate stabilization,2002,2007
11,Medtronic,A device and method for cardiac rhythm management in which a heart chamber is paced in accordance with sense signals from the opposite chamber or other distant cardiac site. The method is particularly useful in delivering cardiac resynchronization therapy.</p> <endline> ,"Cardiac Pacemakers, Inc.",None,07158828,System and method for timing synchronized pacing,2003,2007
12,Medtronic,"An introducer system and method for positioning and fixedly engaging a lead at an implantation site that includes a torque transfer sheath, extending from a proximal end to a distal end, receiving the lead, an outer sheath, having a distal end, receiving the lead positioned within the torque transfer sheath, and a handle operable between a first position enabling advancement and retraction of the lead through the handle and a second position fixedly engaging a proximal end of the lead within the handle. The lead is advanced through the outer sheath to extend outward a predetermined distance from the distal end of the outer sheath and the fixation helix is rotated through the predetermined distance to be fixedly engaged at the implantation site in response to simultaneous rotation and advancement of the lead and the torque transfer sheath through rotation and advancement of the handle in the second position.</p> <endline> ","Medtronic, Inc.",None,07158838,Arrangement for implanting a miniaturized cardiac lead having a fixation helix,2003,2007
13,Medtronic,"A system for treating the heart includes a cardiac harness associated with a cardiac rhythm management devise which does not have a lead system. The cardiac harness applies a compressive force on the heart during diastole and systole, and the cardiac rhythm management devise will deliver an electrical shock to the heart for defibrillation and/or can be used for pacing/sensing. The cardiac harness and cardiac rhythm management devise are both delivered and implanted by minimally invasive access.</p> <endline> ","Paracor Medical, Inc.",None,07158839,Cardiac harness for treating heart disease,2004,2007
14,Medtronic,"An infusion set comprises a base member (<b>60</b>), an introducer cap (<b>64</b>), and an infusion cap (<b>54</b>). The base member (<b>60</b>) preferably comprises a soft cannula (<b>52</b>) extending from a lower side (<b>118</b>) of the base member (<b>60</b>), and a port (<b>62</b>) on an upper side (<b>92</b>) thereof. The port (<b>62</b>) is configured to be in fluid communication with the cannula (<b>52</b>). The port (<b>62</b>) also comprises a septum (<b>130</b>) adapted to seal the port (<b>62</b>) against unwanted fluid flow. The introducer cap (<b>64</b>) is adapted to be mounted to the base member (<b>60</b>) and has a needle (<b>66</b>) adapted to extend through the septum (<b>130</b>) and said soft cannula (<b>52</b>) in an assembled position. The infusion cap (<b>54</b>) comprises a lumen (<b>160</b>) adapted to receive an elongate flexible tube (<b>162</b>). The infusion cap (<b>54</b>) also comprises a hard cannula (<b>170</b>) adapted to be inserted through the septum (<b>130</b>) and to place said soft cannula (<b>52</b>) in fluid communication with said lumen (<b>160</b>).</p> <endline> ","ICU Medical, Inc.",None,07314463,Infusion set,2006,2008
15,Medtronic,"A spinal fixation system includes a plurality of anchor screw assemblies, e.g. including anchor screws and clamp assemblies defining rod passages therethrough. A rod is receivable in the rod passages between the anchor screw assemblies, and a spacer is securable on the rod. During use, a first anchor screw is screwed into a first vertebra, and a second anchor screw is screwed into a second vertebra adjacent the first vertebra, and clamp assemblies are mounted to each anchor screw. A rod is secured between the anchor screw assemblies, thereby fixing a relative spacing of the first and second vertebrae. A spacer is crimped onto the exposed portion of the rod between the anchor screw assemblies, the spacer extending between the anchor screw assemblies to prevent the anchor screw assemblies, and, consequently, the first and second vertebrae, from moving towards one another.</p> <endline> ","Medical Device Advisory Development Group, LLC.",None,07314467,Multi selective axis spinal fixation system,2003,2008
16,Medtronic,"Methods are described for using compositions containing platelet-rich plasma for the treatment of a variety of tissue lesions. Particularly, delivery of platelet-rich plasma to connective tissue is described. The described method and compositions have been shown to provide both pain relief and improved mobility in treatment of lateral epicondylitis.</p> <endline> ",None,None,07314617,PRP composition and minimally invasive method for treating myocardial infarction,2004,2008
17,Medtronic,"Oxygen saturation data is monitored during a predefined window to obtain a measurement of circulation delay. The measured circulation delay is used as a basis for determining therapies, including overdrive pacing. In some embodiments, circulation delay is used to identify patients that will benefit from overdrive pacing as a therapy for sleep disordered breathing.</p> <endline> ","Medtronic, Inc.",None,07315759,Implantable medical device with circulation delay measurement and therapy control,2004,2008
18,Medtronic,"A connector circuit assembly for use in an implantable medical device, and a method of making the assembly that includes a core portion formed of a thermoplastic material using either an injection molding process or a machining process. This core portion is adapted to be fitted with at least one electrically-conductive circuit component such as a connector member, a set-screw block, or a conductive jumper member. In one embodiment of the invention, the core portion includes multiple receptacles or other spaces that are adapted to be loaded with the various circuit components. The core assembly is positioned into a second-shot mold assembly, and a second thermoplastic material is injected into the mold so that the second thermoplastic material extends over and adheres to the core portion and the circuit component.</p> <endline> ","Medtronic, Inc.",None,07472505,Connector assembly for an implantable medical device and process for making,2007,2009
19,Medtronic,"A method and apparatus for determining vulnerable plaque in a cardiovascular lumen is disclosed. In one embodiment, a guide member comprising a temperature sensor and a distance sensor are inserted into the cardiovascular lumen. The temperature of the cardiovascular wall is measured with the temperature sensor, and the distance from the temperature sensor to the cardiovascular wall is determined. The cardiovascular wall temperature is adjusted based on the distance determination, and the vulnerable plaque is determined based on the adjusted wall temperature measurement.</p> <endline> ","Medtronic Vascular, Inc.",None,07473230,Instrumented catheter with distance compensation to sense vulnerable plaque,2007,2009
20,Medtronic,Method and systems for treating a vulnerable plaque associated with a blood vessel of a patient are disclosed. The method includes positioning an endoluminal device within a lumen of the blood vessel. An expandable member of the endoluminal device is expanded adjacent a wall of the blood vessel. A blood vessel coating substance is administered from the expanded expandable member. The administered blood vessel coating substance adheres to the wall of the blood vessel. A first system includes an endoluminal device including at least one aperture formed therein. An expandable member is operably attached to the endoluminal device. The expandable member comprises an outer surface including at least one groove disposed thereon. The expandable member is expanded within the blood vessel and a blood vessel coating substance is administered through the aperture and onto the expandable member outer surface. A second system includes means for positioning an endoluminal device within a lumen of the blood vessel and means for expanding an expandable member of the endoluminal device adjacent a wall of the blood vessel. The second system further includes means for administering a blood vessel coating substance from the expanded expandable member and means for adhering the administered blood vessel coating substance to the wall of the blood vessel.</p> <endline> ,"Medtronic Vascular, Inc.",None,07473242,Method and systems for treating vulnerable plaque,2004,2009
21,Medtronic,"A self-expanding stent includes a plurality of segments having an alternating repeating pattern; each of the segments having connected crowns and unconnected crowns, wherein the unconnected crowns can be fully straightened without damage or permanent distortion to the unconnected crowns; and connectors extending between and connecting adjacent connected crowns of adjacent segments. The self-expanding stent catheter has a minimum crossing profile and the stent compressed for deployment therein is recapturable.</p> <endline> ","Medtronic Vascular, Inc.",None,07473272,Recapturable stent with minimum crossing profile,2005,2009
22,Medtronic,"The stent assembly with exterior banding for delivery of therapeutic agents of the present invention comprises a stent and drug coated bands located circumferentially around the stent. The width of the bands allows free flow of blood or other fluids to side branch lumens within the body. Positioning the bands on the abluminal surface prevents the intrusion of the bands into the inner diameter of the stent, thus optimizing patency. The therapeutic agent can vary from band to band, or different therapeutic agents can be included at different radial locations within the band. In an alternate embodiment, the stent assembly can comprise a stent and one or more helical wraps around the stent, the helical wraps including one or more therapeutic agent.</p> <endline> ","Medtronic Vascular, Inc.",None,07473273,Stent assembly with therapeutic agent exterior banding,2002,2009
23,Medtronic,"A device, system and method for treating cardiac valve regurgitation. The device includes a compression member disposed on a tube and a sleeve rotatably disposed about the tube and the compression member. The sleeve includes a side port, and is rotatable to align the compression member with the side port to transform the compression member from a delivery configuration to a compression configuration. One method includes positioning the compression member adjacent a cardiac valve and rotating the sleeve to align the compression member with the side port to release the compression member from the delivery configuration to the compression configuration to apply a compressive force to the cardiac valve.</p> <endline> ","Medtronic Vascular, Inc.",None,07473274,Coronary sinus approach for repair of mitral valve regurgitation,2004,2009
24,Medtronic,"Activation of an enzyme in a bodily fluid is detected based on the amount of cleavage of a substrate for the enzyme. The substrate is tagged with two fluorescent dyes&#x2014;a donor and an acceptor. The tagged substrate is presented to the bodily fluid. A device emits energy at a first wavelength into the bodily fluid, and detects energy at second and third wavelengths emitted by the dyes in response to the energy at the first wavelength. Prior to enzymatic cleavage of the substrate, the acceptor emits energy at the third wavelength in response to energy at the second wavelength received through fluorescent resonant energy transfer (FRET) from the donor. After enzymatic cleavage of the substrate, the donor emits energy at the second wavelength. The device can determine the concentration of activated enzyme within the bodily fluid based on the relative intensities of energy at the second and third wavelengths.</p> <endline> ","Medtronic, Inc.",None,07473548,Optical detector for enzyme activation,2003,2009
25,Medtronic,"A method and apparatus for automatically identifying surgical implants by use of a radio-frequency tag (RFID) is disclosed. The method, apparatus, and system enable a radio-frequency tagged implant to receive an interrogation signal from a reader and to respond to the interrogation signal with identifying information about the tagged implants. The interrogation signal interrogates the implant to ascertain its information, and the RFID tag affixed on the implant in turn transmits a signal back to the reader. The method, apparatus, and system can track, inspect, and verify surgical implants, to assess, for example, any wear and tear on implants, and/or positional displacement of components of the implant.</p> <endline> ","Warsaw Orthopedic, Inc.",None,07474223,Method and apparatus for implant identification,2005,2009
26,Medtronic,"In general, this disclosure is related to detecting overload within an analog-to-digital converter (ADC) of an implantable medical device (IMD). The IMD may include an overload detection module that determines whether the ADC is operating in an overload condition. When the overload detection module determines the ADC is operating in the overload condition for a particular period of time, the ADC may send an overload signal to a processor that processes the output of the ADC. The overload signal notifies the processor that the ADC is operating in or is close to operating in the overload condition. In response to the indication from the ADC, the processor of the IMD may disregard the output of the ADC. The processor may continue to disregard the output of the ADC until the overload signal is deactivated, thereby indicating that the ADC is no longer in an overloaded condition.</p> <endline> ","Medtronic, Inc.",None,07474247,Detecting overloading of an analog-to-digital converter of an implantable medical device,2007,2009
27,Medtronic,A capacitor including a flexible case and method for manufacturing the same are provided. The capacitor includes an electrode assembly encased in a sealed flexible case. The electrode assembly includes an anode formed from a high surface area valve metal and a cathode operatively positioned relative to the anode. The flexible case may conform to an exterior contour of the electrode assembly.</p> <endline> ,"Medtronic, Inc.",None,07474521,High energy density capacitors and method of manufacturing,2006,2009
28,Medtronic,"A system and method are provided for discriminating supra-ventricular tachycardia (SVT) from ventricular tachycardia (VT). A monitoring EGM signal is acquired during a sensing window timed according to the time of R-wave detection on a reference EGM signal. A normal sinus rhythm (NSR) template is generated using the monitoring EGM signal during the time-referenced sensing window. During an unknown rhythm, the monitoring EGM signal sensed during the time-referenced sensing window is compared to the NSR template for use in computing a morphology metric. The morphology metric is compared to a VT/VF detection threshold for discriminating SVT from VT/VF.</p> <endline> ","Medtronic, Inc.",None,07474916,Method and apparatus for discriminating ventricular and supraventricular tachyarrhythmias,2005,2009
29,Medtronic,"A device and method to detect slow ventricular tachycardia, deliver anti-tachycardia pacing therapies, and delay a scheduled shock therapy if the ventricular tachycardia is not terminated or accelerated. Preferably, a shock therapy is delayed after verifying hemodynamic stability based on a hemodynamic sensor. After a shock is delayed, the device operates in a high alert mode for redetecting an accelerated tachycardia. Anti-tachycardia pacing therapies are repeated during the shock delay. A number of conditions can trigger delivery of the delayed shock therapy including a specified period of elapsed time; determination that the patient is likely to be asleep; detection of myocardial ischemia; detection of compromised hemodynamics, or detection of a substantially prone position or sudden change in position. A delayed shock therapy may be triggered by the patient and repeated delivery of painful shock therapies in patients that are not seriously compromised by a recurring, slow ventricular tachycardia is avoided.</p> <endline> ","Medtronic, Inc.",None,07474920,Method and apparatus for delaying a ventricular tachycardia therapy,2005,2009
30,Medtronic,"An apparatus for conducting electrical energy to a part of the body (e.g. the heart) and/or for providing sensor data from the body to a device suitably includes an input lead configured to electrically interface with a medical device. A switch electrically coupled to the input lead includes first and second output terminals and a switching input that is responsive to a control signal. The switch toggles electrical energy between first and second output leads in response to the control signal to provide energy to a particular location on the part of the body. The various electromechanical switches described herein may be useful in a wide variety of applications, including many applications in the medical device field. Such switches may be useful in producing Y-adapter-type lead multiplexers for implantable devices, for example, as well as in producing switchable electrode arrays, sensor leads and the like.</p> <endline> ","Medtronic, Inc.",None,07474923,Micro electromechanical switches and medical devices incorporating same,2003,2009
31,Medtronic,"A medical electrical lead includes a conductive component coupling a coil to a wire or cable; the conductive component includes a first side, a second side, a first groove formed in the first side and a second groove formed in the second side. The first groove holds a portion of the cable and the second groove holds a portion of the coil.</p> <endline> ","Medtronic, Inc.",None,07474924,Junction for medical electrical leads,2003,2009
32,Medtronic,An infusion media delivery device includes a durable housing portion and a separable disposable portion that selectively engage and disengage from each other. The disposable housing portion secures to the patient and may be disposed of after it has been in use for a prescribed period. The disposable housing portion supports an infusion media reservoir and a needle on a moveable platform. The platform is moveable between a first position in which a needle is disengaged with a patient and a second position in which the needle is engaged with the patient.</p> <endline> ,"Medtronic MiniMed, Inc.",None,07641649,Reservoir support and method for infusion device,2005,2010
33,Medtronic,"The present invention provides improved coupling arrangements for medical instruments. In one example, a coupling system for a medical dissection tool includes: an internal passage adapted for receiving a portion of a medical dissection tool; and at least one locking member movable through a first angled path into a locked position to prevent the medical dissection tool from moving along a longitudinal axis of the internal passage.</p> <endline> ","Medtronic, Inc.",None,07641655,Coupling system for surgical instrument,2003,2010
34,Medtronic,"A cannula (<b>10</b>) receives surgical instruments (<b>120</b>) for performing a surgical procedure on a body (<b>130</b>). The cannula (<b>10</b>) comprises a tube structure (<b>12</b>) defining a passage (<b>16</b>) through which the surgical instruments (<b>120</b>) are inserted into the body (<b>130</b>). The tube structure (<b>12</b>) has a proximal end (<b>20</b>) and a distal end (<b>62</b>). The tube structure (<b>12</b>) includes an expandable portion (<b>40</b>) for enabling an increase in the cross-sectional area of the passage (<b>16</b>) at the distal end (<b>62</b>). The expandable portion (<b>40</b>) of the tube structure (<b>12</b>), when expanded, has a conical configuration.</p> <endline> ","Zimmer Spine, Inc.",None,07641670,Cannula for receiving surgical instruments,2003,2010
35,Medtronic,"An electrochemical cell including a cell enclosure, a fill tube, a ball, a closing button, an anode, a cathode, and an electrolyte. The cell enclosure defines an internal volume and includes a cover forming a fillport through hole. The fill tube is separately formed, and defines a leading section, a trailing section, and a passageway. The leading section is secured within the fillport through hole. The ball is sealingly secured within the passageway. The closing button is also separately formed, and is sealingly secured within the fillport through hole adjacent the leading section of the fill tube. The anode, cathode, and electrolyte are maintained within the internal volume. By configuring the fill tube such that the leading section thereof is secured within the fillport through hole, an overall extension of the fill tube relative to the internal volume is greatly reduced, thereby maximizing a volumetric efficiency.</p> <endline> ","Medtronic, Inc.",None,07641705,Electrochemical cell with reduced height fillport,2004,2010
36,Medtronic,"A medical device includes a rechargeable lithium-ion battery for providing power to the medical device. The lithium-ion battery includes a positive electrode including a current collector and a first active material, a negative electrode including a current collector and a second active material, and an auxiliary electrode including a current collector and a third active material. The auxiliary electrode is configured for selective electrical connection to one of the positive electrode and the negative electrode. The first active material, second active material, and third active material are configured to allow doping and undoping of lithium ions. The third active material exhibits charging and discharging capacity below a corrosion potential of the current collector of the negative electrode and above a decomposition potential of the first active material.</p> <endline> ","Medtronic, Inc.",None,07641992,Medical device having lithium-ion battery,2004,2010
37,Medtronic,"A medical device includes a rechargeable lithium-ion battery for providing power to the medical device. The lithium-ion battery includes a positive electrode including a current collector, a first active material, and a second active material. The lithium-ion battery also includes a negative electrode including a current collector, a third active material, and a quantity of lithium in electrical contact with the current collector of the negative electrode. The second active material exhibits charging and discharging capacity below a corrosion potential of the current collector of the negative electrode and above a decomposition potential of the first active material.</p> <endline> ","Medtronic, Inc.",None,07642013,Medical device having lithium-ion battery,2004,2010
38,Medtronic,"This document discusses, among other things, fiducial marker devices, tools, and methods. One example illustrates a combined computed tomography (CT) imagable fiducial locator head, an integral bone screw, and an integral divot for receiving a positioning wand of an image-guided surgical (IGS) workstation. A further example includes a fluid/gel-absorbing coating or cover into which a magnetic resonance (MR) imagable fluid is introduced, thereby permitting both CT and MR imaging. Protective caps and collars may be used to protect the fiducial marker from mechanical impact and/or to guide the fiducial marker during affixation. A bull's-eye or other template is used to select a center of a substantially spherical fiducial marker head on an image, such as for use during patient registration.</p> <endline> ","Medtronic, Inc.",None,07643867,"Fiducial marker devices, tools, and methods",2003,2010
39,Medtronic,"A cardiac rhythm management device predicts defibrillation thresholds without any need to apply defibrillation shocks or subjecting the patient to fibrillation. Intravascular defibrillation electrodes are implanted in a heart. By applying a small test energy, an electric field near one of the defibrillation electrodes is determined by measuring a voltage at a sensing electrode offset from the defibrillation electrode by a known distance. A desired minimum value of electric field at the heart periphery is established. A distance between a defibrillation electrodes and the heart periphery is measured, either fluoroscopically or by measuring a voltage at an electrode at or near the heart periphery. Using the measured electric field and the measured distance to the periphery of the heart, the defibrillation energy needed to obtain the desired electric field at the heart periphery is estimated. In an example, the device also includes a defibrillation shock circuit and a stimulation circuit.</p> <endline> ","Cardiac Pacemakers, Inc.",None,07643877,Cardiac rhythm management system with defibrillation threshold prediction,2005,2010
40,Medtronic,"The present invention provides a method of forming a drug eluting stent, the method comprising coupling a stent framework to a mandrel, inserting the mandrel with stent framework into an open die, the die including a forming surface including a plurality of raised indentation forming portions; closing the die against the stent framework; pressing the raised indentation portions into the stent framework to form indentation in the stent framework; and inserting at least one drug polymer into the indentation formed in the stent framework.</p> <endline> ","Medtronic Vascular, Inc.",None,07861570,Stent with improved drug loading capacity,2006,2011
41,Medtronic,"Surgical positioners may include platforms, surgical item positioners and/or surgical references as well as methods for using stabilizer platforms, surgical item positioners and/or surgical references. Stabilizer platforms may include low profile platforms rigidly mounted to portions of an individual's anatomy. Various items may be secured and/or stabilized by the stabilizer platform, including support platforms as well as surgical references. Support platforms may stabilize and assist surgeons in using, navigating, aligning and positioning surgical items. Surgical references may include modular fiducial systems that may be secured to stabilizer platforms, support platforms, surgical items and/or directly to portions of an individual's anatomy.</p> <endline> ","Smith &#x26; Nephew, Inc.",None,07862570,Surgical positioners,2003,2011
42,Medtronic,Embodiments of an interspinous spacer that maintains spacing between a superior vertebra and inferior vertebra following a laminectomy. The interspinous spacer may include a superior arch engaging the spinous process of a superior vertebra and an inferior arch engaging the spinous process of an inferior vertebra. The superior arch and inferior arch may define a central opening in the interspinous spacer.</p> <endline> ,"Warsaw Orthopedic, Inc.",None,07862590,Interspinous process spacer,2005,2011
43,Medtronic,The present invention relates to methods and instruments for placing a brace or connecting element into an animal subject for engagement with anchors secured in the animal subject. The installation instrument includes anchor extensions coupled to the anchors. The instrument is movable with respect to the anchors to position the connecting element in a position more proximate the anchors.</p> <endline> ,"Warsaw Orthopedic, Inc.",None,07862595,Instruments and methods for stabilization of bony structures,2007,2011
44,Medtronic,"A medical device system includes a brain monitoring element, cardiopulmonary monitoring element, therapy module and a processor. The processor is configured to activate the therapy module upon detection of a cardiopulmonary event in the cardiopulmonary signal. The processor is further configured to monitor the brain signal and communicate to the therapy module to change the cardiopulmonary triggered therapeutic output to the brain based upon the brain monitoring. Methods of treating a person with a neurological disorder are also provided.</p> <endline> ","Medtronic, Inc.",None,07865244,System and method for regulating cardiopulmonary triggered therapy to the brain,2005,2011
45,Medtronic,"An implantable medical device having an implantable power source such as a rechargeable lithium ion battery. The implantable medical device includes a recharge module that regulates the recharging process of the implantable power source using closed-loop feedback control. The recharge module includes a recharge regulator, a recharge measurement device monitoring at least one recharge parameter, and a recharge regulation control unit for regulating the recharge energy delivered to the power source in response to the recharge measurement device. The recharge module adjusts the energy provided to the power source to ensure that the power source is being recharged under safe levels.</p> <endline> ","Medtronic, Inc.",None,07865245,Battery recharge management for implantable medical device,2006,2011
46,Medtronic,"A neurostimulation lead includes fiber optic cable. A human-implantable neurostimulator and neurostimulation lead each include an opto-electric transducer. The opto-electric transducers can be an optical transmitter, an optical receiver, or an optical transducer, that converts: electrical energy to optical energy; optical energy to electrical energy; or both electrical energy to optical energy and optical energy to electrical energy. Neurostimulation-lead electrodes can be activated, and/or lead-status information can be transmitted, over the fiber optic cable, between the neurostimulator and the neurostimulation lead. A neurostimulation-lead power converter may be coupled to a pulse generator of the neurostimulator such that the power converter derives and stores power for the lead from stimulation pulses received from the stimulation-pulse generator.</p> <endline> ","Medtronic, Inc.",None,07865246,Optical communication of neurostimulation-system information,2006,2011
47,Medtronic,"A medical device having a diode configuration in a lead assembly that substantially reduces induced currents in a lead assembly and at a tissue interface. The diodes configure an electrical path such that a stimulation pulse travels from the medical device to a selected tissue, and a current induced by an external changing electromagnetic signal is reduced and/or prevented from travelling the electrical path from the selected tissue to the medical device. The diodes may be at least partially contained in an electrode of the medical device.</p> <endline> ","Medtronic, Inc.",None,07865247,Medical leads with frequency independent magnetic resonance imaging protection,2007,2011
48,Medtronic,"Systems provide a stimulation electrode assembly sized and configured for placement in an adipose tissue region to stimulate a nerve in the adipose tissue region comprising an elongated lead sized and configured to be implanted within the adipose tissue region, the lead including at least two electrically conductive portions to apply electrical stimulation to nerve tissue in the adipose tissue region, and at least two expandable anchoring structures deployable from the lead to engage adipose tissue and resist dislodgment and/or migration of the at least two electrically conductive portions within the adipose tissue region.</p> <endline> ","Medtronic Urinary Solutions, Inc.",None,07865250,Methods for electrical stimulation of nerves in adipose tissue regions,2005,2011
49,Medtronic,"The invention provides a polymeric film-forming medical sealant. The medical sealant is useful for application to the tonsils and adenoids, wherein the sealant performs at least one of the following functions, a) inhibit the colonization of bacteria, b) inhibit the binding of bacteria to tissue, c) reduction of tissue morbidity, d) hemostasis, e) coating and protection of tissue during healing. e) promotion of healing, and f) reduction of pain.</p> <endline> ","Medtronic Xomed, Inc.",None,08088095,Polymeric sealant for medical use,2007,2012
